Proměnná,OR,CI_lower,CI_upper,p_hodnota,Data použita (%),Vybrána modelem
Typ akutní ischemie (choice=Borderzone),0.40552721088435373,0.024446232706070877,6.727102729689862,0.6264452524444393,100.0,False
Kuřák v době vzniku příznaků iCMP/TIA,0.6481761277789769,0.47750011231173334,0.8798579974956489,0.004599782225295071,81.05,False
Pohlaví,0.6714473684210527,0.5235847447535283,0.8610670442122718,0.0017252824483853873,83.55,False
Typ akutní ischemie (choice=Ischemie nezachycena),0.7956803209339024,0.6077737339880357,1.0416823526861065,0.1007360357381071,100.0,False
Staré postischemické změny (choice=Nejsou),1.094123706992632,0.8626773657442237,1.387664419792176,0.4694530578723626,100.0,False
Typ akutní ischemie (choice=Lakunární),1.1002920159063954,0.7206256952144983,1.6799879997437555,0.6542116315997003,100.0,False
Staré postischemické změny (choice=Difuzně v bílé hmotě),1.133871774712315,0.8394695769351392,1.5315208994031129,0.4267395855805468,100.0,False
Staré postischemické změny (choice=Ve stejném povodí jako akutní ischemie),1.1382597804464747,0.6860391935650567,1.888573335073152,0.586595633758358,100.0,False
Abusus alkoholu,1.183532284319045,0.6882701421180147,2.035172793802921,0.5535369004873609,77.26,False
Osobní anamnéza (choice=Hyperlipidémie),1.2992175658514604,1.0036828965242612,1.6817724893613288,0.05197880947417816,100.0,True
Staré postischemické změny (choice=V jiném povodí než akutní ischemie),1.377919924188581,0.906723791878152,2.093982020194982,0.1479348861570304,100.0,False
Typ akutní ischemie (choice=Teritoriální),1.655223148602256,1.3061590796350768,2.097572733969142,3.4730191461155105e-05,100.0,True
